file_name,file_size,product_no,status,letter,environment,image_w,image_h,product_no_len
KakaoTalk_20211206_140911955_01.jpg,3056.0,S80783,Horizontal,Clear,Clear,117.0,61.0,6.0
KakaoTalk_20211206_140911955_02.jpg,6515.0,M9160C,Horizontal,Blur,Clear,353.0,116.0,6.0
KakaoTalk_20211206_140911955_03.jpg,4064.0,M9160C,Horizontal,Clear,Clear,195.0,56.0,6.0
KakaoTalk_20211206_140911955_04.jpg,8354.0,M9160C,Horizontal,Clear,Clear,291.0,107.0,6.0
KakaoTalk_20211206_140911955_05.jpg,2273.0,B37846,Horizontal,Clear,Clear,151.0,48.0,6.0
KakaoTalk_20211206_140911955_06.jpg,3064.0,73-B7637,Horizontal,Clear,Clear,193.0,48.0,8.0
KakaoTalk_20211206_140911955_07.jpg,3087.0,LHE0401,Horizontal,Clear,Clear,121.0,48.0,7.0
KakaoTalk_20211206_140911955_08.jpg,3391.0,1SM01611D,Horizontal,Clear,Clear,178.0,68.0,9.0
KakaoTalk_20211206_140911955_08_1.jpg,3297.0,1SM01611D,Horizontal,Clear,Clear,172.0,63.0,9.0
KakaoTalk_20211206_140911955_11.jpg,4391.0,M9160C,Horizontal,Clear,Clear,252.0,81.0,6.0
KakaoTalk_20211206_140911955_12.jpg,2635.0,M9160C,Horizontal,Clear,Clear,113.0,50.0,6.0
KakaoTalk_20211206_140911955_13.jpg,5461.0,M9697C,Horizontal,Clear,Clear,128.0,80.0,6.0
KakaoTalk_20211206_140911955_14.jpg,11927.0,169880C,Horizontal,Clear,Clear,226.0,128.0,7.0
KakaoTalk_20211206_140911955_15.jpg,4556.0,M9160C,Horizontal,Clear,Clear,244.0,52.0,6.0
KakaoTalk_20211206_140911955_16.jpg,11014.0,FU8297,Horizontal,Clear,Clear,282.0,161.0,6.0
KakaoTalk_20211206_140911955_17.jpg,7740.0,FZ0387,Horizontal,Clear,Clear,254.0,131.0,6.0
KakaoTalk_20211206_140911955_18.jpg,8154.0,FZ0388,Horizontal,Clear,Clear,274.0,106.0,6.0
KakaoTalk_20211206_140911955_19.jpg,4895.0,VN-0EE3WHT,Horizontal,Clear,Clear,204.0,70.0,10.0
KakaoTalk_20211206_140911955_20.jpg,4046.0,VN-0EE3BKA,Horizontal,Clear,Clear,239.0,56.0,10.0
KakaoTalk_20211206_140911955_21.jpg,5321.0,GV7098,Horizontal,Clear,Clear,187.0,66.0,6.0
KakaoTalk_20211206_140911955_22.jpg,6592.0,RBKH05299,Horizontal,Clear,Clear,259.0,78.0,9.0
KakaoTalk_20211206_140911955_23.jpg,3654.0,1TM01393D,Horizontal,Clear,Clear,207.0,48.0,9.0
KakaoTalk_20211206_140911955_24.jpg,8674.0,372280 02,Horizontal,Clear,Clear,287.0,91.0,9.0
KakaoTalk_20211206_140911955_25.jpg,3514.0,1TM00652,Horizontal,Clear,Clear,197.0,60.0,8.0
KakaoTalk_20211206_140911955_26.jpg,7185.0,M9166C,Horizontal,Clear,Clear,232.0,81.0,6.0
KakaoTalk_20211206_140911955_29.jpg,4187.0,FUS21G2,Horizontal,Clear,Clear,174.0,69.0,7.0
KakaoTalk_20211206_140919988.jpg,8928.0,BD1551,Horizontal,Clear,Clear,85.0,48.0,6.0
KakaoTalk_20211206_140919988_01.jpg,3854.0,G9SB551,Horizontal,Clear,Clear,202.0,53.0,7.0
KakaoTalk_20211206_140919988_02.jpg,22863.0,ART CP9448,Horizontal,Blur,Clear,191.0,50.0,10.0
2021-12-06 155505.jpg,21445.0,839611-400,Horizontal,Tilted,Clear,142.0,24.0,10.0
2021-12-06 155604.jpg,20424.0,615152-109,Diagonal,Blur,Clear,111.0,29.0,10.0
2021-12-06 155705.jpg,20388.0,833260-110,Horizontal,Blur,Clear,103.0,23.0,10.0
2021-12-06 155724.jpg,20837.0,642330-002,Diagonal,Clear,Clear,113.0,21.0,10.0
20211205_171426.jpg,41172.0,CD5405-001,Horizontal,Tilted,Clear,728.0,119.0,10.0
20211205_171506.jpg,38511.0,DX-SHB1-111,Horizontal,Clear,Clear,495.0,85.0,11.0
20211205_171527.jpg,43285.0,454350-700,Horizontal,Tilted,Clear,499.0,109.0,10.0
20211205_195013.jpg,34816.0,CZ5358-002,Horizontal,Clear,Clear,425.0,56.0,10.0
20211205_195047.jpg,39219.0,DM0113-002,Horizontal,Tilted,Clear,463.0,65.0,10.0
20211205_195114.jpg,35888.0,DJ1196-002,Horizontal,Clear,Reflection,410.0,74.0,10.0
20211205_195216.jpg,40070.0,CW4555-102,Horizontal,Clear,Clear,506.0,74.0,10.0
20211205_195303.jpg,37447.0,CU4826-002,Horizontal,Clear,Clear,421.0,62.0,10.0
20211205_195313.jpg,36272.0,CU4826-100,Horizontal,Clear,Clear,382.0,57.0,10.0
20211205_195628.jpg,37168.0,CU4874-001,Horizontal,Clear,Reflection,479.0,76.0,10.0
20211205_195643.jpg,36453.0,CW3809-005,Horizontal,Tilted,Reflection,398.0,61.0,10.0
20211205_195658.jpg,37341.0,CW3808-001,Horizontal,Clear,Clear,508.0,64.0,10.0
20211205_195807.jpg,37703.0,DB2880-100,Horizontal,Clear,Clear,442.0,62.0,10.0
20211205_195820.jpg,34061.0,DB2880-001,Horizontal,Blur,Shadow,498.0,62.0,10.0
20211205_195832.jpg,40575.0,DA5380-110,Horizontal,Tilted,Clear,729.0,93.0,10.0
20211205_195851.jpg,40945.0,DC6477-001,Horizontal,Tilted,Clear,561.0,81.0,10.0
20211205_195900.jpg,48818.0,DC6477-400,Horizontal,Tilted,Reflection,604.0,108.0,10.0
20211205_195908.jpg,38135.0,DC6477-100,Horizontal,Clear,Clear,523.0,80.0,10.0
20211205_195922.jpg,38461.0,BQ3207-014,Horizontal,Tilted,Reflection,493.0,88.0,10.0
20211205_195949.jpg,40376.0,DO2791-100,Horizontal,Blur,Clear,499.0,84.0,10.0
IMG_20211205_200052_610.jpg,29072.0,FS1SIA3280X-WWT,Horizontal,Clear,Clear,387.0,59.0,15.0
7-39CFA0047042.jpeg,37383.0,7-39CFA0047042,Diagonal,Blur,Shadow,722.0,175.0,14.0
144757C.jpg,2646.0,144757C,Diagonal,Clear,Clear,95.0,29.0,7.0
160458C.jpg,3333.0,160458C,Horizontal,Clear,Clear,119.0,31.0,7.0
500714.jpeg,8012.0,500714,Horizontal,Blur,Shadow,187.0,97.0,6.0
36933802.jpg,3662.0,369338 02,Diagonal,Clear,Clear,107.0,25.0,9.0
API011006.jpeg,20739.0,API 011006,Horizontal,Clear,Clear,447.0,96.0,10.0
ARTCP9448.jpeg,3536.0,ART CP9448,Diagonal,Clear,Clear,96.0,26.0,10.0
EG8357.jpeg,2789.0,EG8357,Diagonal,Clear,Clear,73.0,25.0,6.0
FS1SIA1011X.jpg,3738.0,FS1SIA1011X,Diagonal,Clear,Clear,134.0,46.0,11.0
FS1SIZ3220X.jpeg,13642.0,FS1SIZ3220X,Horizontal,Tilted,Clear,314.0,78.0,11.0
FW2752.jpg,3194.0,FW2752,Diagonal,Clear,Clear,105.0,39.0,6.0
J09603.jpeg,13188.0,J09603,Diagonal,Dirty,Clear,342.0,103.0,6.0
KKWK133M1.jpeg,20840.0,KKWK133M1,Horizontal,Tilted,Clear,434.0,88.0,9.0
L4040BK3.jpg,4327.0,L4040BK3,Horizontal,Clear,Clear,124.0,29.0,8.0
M9160C.jpeg,2521.0,M9160C,Horizontal,Clear,Clear,69.0,23.0,6.0
M9696C.jpeg,31521.0,M9696C,Diagonal,Blur,Clear,488.0,145.0,6.0
NBPDAF789I.jpg,3493.0,NBPDAF789I,Diagonal,Clear,Clear,102.0,31.0,10.0
PYA046001.jpeg,5276.0,PYA 046001,Diagonal,Clear,Clear,176.0,35.0,10.0
RESGLCX16100.jpeg,41670.0,RESGLCX16100,Diagonal,Clear,Clear,917.0,149.0,12.0
S12-51017.jpg,21664.0,S12-51017,Diagonal,Blur,Clear,472.0,131.0,9.0
S12-51052.JPG,26025.0,S12-51052,Diagonal,Clear,Clear,403.0,151.0,9.0
WF49946.jpg,2577.0,WF49946,Diagonal,Blur,Clear,90.0,28.0,7.0
WJ2MTES115.jpeg,12608.0,WJ2MTES115,Horizontal,Clear,Clear,415.0,48.0,10.0
YBP334.jpeg,12385.0,YBP334,Horizontal,Clear,Reflection,281.0,99.0,6.0
YYJ606004.jpeg,29747.0,YYJ606004,Horizontal,Clear,Clear,600.0,123.0,9.0
KakaoTalk_20211206_145622269_00.jpg,38418.0,SPW302621G,Left_Rot,Tilted,Clear,406.0,96.0,10.0
KakaoTalk_20211206_145622269_03.jpg,48808.0,F1XK25241-BEG,Left_Rot,Tilted,Clear,824.0,119.0,13.0
KakaoTalk_20211206_145622269_04.jpg,39623.0,M9166C,Left_Rot,Blur,Clear,475.0,161.0,6.0
KakaoTalk_20211206_145622269_05.jpg,68190.0,S001XG0,Right_Rot,Clear,Clear,436.0,336.0,7.0
KakaoTalk_20211206_145622269_06.jpg,36095.0,MVOSB407,Right_Rot,Tilted,Clear,410.0,79.0,8.0
KakaoTalk_20211206_145622269_07.jpg,30902.0,Q23449,Right_Rot,Blur,Shadow,342.0,101.0,6.0
KakaoTalk_20211206_145622269_08.jpg,40822.0,908999-016,Right_Rot,Tilted,Clear,449.0,95.0,10.0
KakaoTalk_20211206_145622269_09.jpg,52627.0,AH5222-100,Right_Rot,Blur,Clear,813.0,163.0,10.0
KakaoTalk_20211206_145622269_01.jpg,64658.0,EVM 004001,Left_Rot,Blur,Shadow,887.0,251.0,10.0
KakaoTalk_20211206_145622269_16.jpg,38753.0,B25176,Left_Rot,Clear,Clear,311.0,123.0,6.0
KakaoTalk_20211206_145622269_17.jpg,42556.0,DD1503 109,Right_Rot,Tilted,Clear,618.0,166.0,10.0
KakaoTalk_20211206_145622269_02.jpg,49310.0,CK2351-101,Left_Rot,Tilted,Shadow,865.0,158.0,10.0
KakaoTalk_20211206_145622269_15.jpg,27217.0,751505,Left_Rot,Blur,Shadow,207.0,88.0,6.0
KakaoTalk_20211206_145622269_18.jpg,76739.0,DD1503 109,Right_Rot,Clear,Clear,685.0,342.0,10.0
3Q1ZM_h_c.jpg,7102.0,3Q1ZM,Horizontal,Clear,Clear,251.0,92.0,5.0
VJP#F_h_c.jpg,6119.0,VJP#F,Horizontal,Clear,Clear,203.0,92.0,5.0
5J46N_h_c.jpg,4772.0,5J46N,Horizontal,Clear,Clear,166.0,92.0,5.0
V5B9E_h_c.jpg,6656.0,V5B9E,Horizontal,Clear,Clear,256.0,92.0,5.0
AYFD3_h_c.jpg,6403.0,AYFD3,Horizontal,Clear,Clear,251.0,92.0,5.0
D7STW_h_c.jpg,7536.0,D7STW,Horizontal,Clear,Clear,267.0,92.0,5.0
4BFSH_h_c.jpg,7781.0,4BFSH,Horizontal,Clear,Clear,294.0,92.0,5.0
Y5INT_h_c.jpg,6269.0,Y5INT,Horizontal,Clear,Clear,233.0,92.0,5.0
IZD1X_h_c.jpg,6388.0,IZD1X,Horizontal,Clear,Clear,239.0,92.0,5.0
SI0QT_h_c.jpg,5971.0,SI0QT,Horizontal,Clear,Clear,211.0,92.0,5.0
 2WVE_h_c.jpg,7120.0, 2WVE,Horizontal,Clear,Clear,299.0,92.0,5.0
LNCPP_h_c.jpg,8019.0,LNCPP,Horizontal,Clear,Clear,288.0,92.0,5.0
U4ERD_h_c.jpg,6994.0,U4ERD,Horizontal,Clear,Clear,260.0,92.0,5.0
ZRWLE_h_c.jpg,8127.0,ZRWLE,Horizontal,Clear,Clear,317.0,92.0,5.0
59FFH_h_c.jpg,6347.0,59FFH,Horizontal,Clear,Clear,235.0,92.0,5.0
RZ RO_h_c.jpg,5807.0,RZ RO,Horizontal,Clear,Clear,233.0,92.0,5.0
XY75-_h_c.jpg,8561.0,XY75-,Horizontal,Clear,Clear,327.0,92.0,5.0
JBICM_h_c.jpg,7913.0,JBICM,Horizontal,Clear,Clear,268.0,92.0,5.0
X9DQG_h_c.jpg,9403.0,X9DQG,Horizontal,Clear,Clear,341.0,92.0,5.0
6IV7I_h_c.jpg,5071.0,6IV7I,Horizontal,Clear,Clear,183.0,92.0,5.0
-1EB37_h_c.jpg,6299.0,-1EB37,Horizontal,Clear,Clear,234.0,92.0,6.0
D19CD _h_c.jpg,7973.0,D19CD ,Horizontal,Clear,Clear,305.0,92.0,6.0
GGSB2#_h_c.jpg,9786.0,GGSB2#,Horizontal,Clear,Clear,335.0,92.0,6.0
IMMJ3U_h_c.jpg,10091.0,IMMJ3U,Horizontal,Clear,Clear,378.0,92.0,6.0
5ZWCOD_h_c.jpg,8363.0,5ZWCOD,Horizontal,Clear,Clear,318.0,92.0,6.0
8034JJ_h_c.jpg,8213.0,8034JJ,Horizontal,Clear,Clear,307.0,92.0,6.0
9LVQ33_h_c.jpg,6420.0,9LVQ33,Horizontal,Clear,Clear,248.0,92.0,6.0
HKN7XZ_h_c.jpg,7776.0,HKN7XZ,Horizontal,Clear,Clear,287.0,92.0,6.0
XJ-JFW_h_c.jpg,11019.0,XJ-JFW,Horizontal,Clear,Clear,383.0,92.0,6.0
PA0OL8_h_c.jpg,9270.0,PA0OL8,Horizontal,Clear,Clear,369.0,92.0,6.0
UN#FPM_h_c.jpg,11671.0,UN#FPM,Horizontal,Clear,Clear,423.0,92.0,6.0
0UPWGD_h_c.jpg,10158.0,0UPWGD,Horizontal,Clear,Clear,379.0,92.0,6.0
OYK4VR_h_c.jpg,10472.0,OYK4VR,Horizontal,Clear,Clear,408.0,92.0,6.0
CFIN27_h_c.jpg,6807.0,CFIN27,Horizontal,Clear,Clear,261.0,92.0,6.0
O5O8JX_h_c.jpg,9222.0,O5O8JX,Horizontal,Clear,Clear,345.0,92.0,6.0
AM#MHF_h_c.jpg,7764.0,AM#MHF,Horizontal,Clear,Clear,322.0,92.0,6.0
YFIU Y_h_c.jpg,5655.0,YFIU Y,Horizontal,Clear,Clear,220.0,92.0,6.0
IHKC5D_h_c.jpg,7187.0,IHKC5D,Horizontal,Clear,Clear,300.0,92.0,6.0
X92JC2_h_c.jpg,6918.0,X92JC2,Horizontal,Clear,Clear,227.0,92.0,6.0
QUJXED_h_c.jpg,7367.0,QUJXED,Horizontal,Clear,Clear,274.0,92.0,6.0
K-# UKF_h_c.jpg,8298.0,K-# UKF,Horizontal,Clear,Clear,308.0,92.0,7.0
QQFF8O9_h_c.jpg,8848.0,QQFF8O9,Horizontal,Clear,Clear,324.0,92.0,7.0
GCJ5CMX_h_c.jpg,9921.0,GCJ5CMX,Horizontal,Clear,Clear,373.0,92.0,7.0
V#3391F_h_c.jpg,9301.0,V#3391F,Horizontal,Clear,Clear,352.0,92.0,7.0
B5CDF3X_h_c.jpg,10674.0,B5CDF3X,Horizontal,Clear,Clear,404.0,92.0,7.0
5RH3QD8_h_c.jpg,8173.0,5RH3QD8,Horizontal,Clear,Clear,333.0,92.0,7.0
F-16R8M_h_c.jpg,9211.0,F-16R8M,Horizontal,Clear,Clear,372.0,92.0,7.0
WZF- GO_h_c.jpg,9694.0,WZF- GO,Horizontal,Clear,Clear,387.0,92.0,7.0
937V06G_h_c.jpg,11381.0,937V06G,Horizontal,Clear,Clear,391.0,92.0,7.0
ZZQJK#O_h_c.jpg,8059.0,ZZQJK#O,Horizontal,Clear,Clear,299.0,92.0,7.0
7ZS6T-M_h_c.jpg,7706.0,7ZS6T-M,Horizontal,Clear,Clear,270.0,92.0,7.0
L#G5P-U_h_c.jpg,8246.0,L#G5P-U,Horizontal,Clear,Clear,308.0,92.0,7.0
EW67-MR_h_c.jpg,8867.0,EW67-MR,Horizontal,Clear,Clear,359.0,92.0,7.0
921T7#3_h_c.jpg,8755.0,921T7#3,Horizontal,Clear,Clear,317.0,92.0,7.0
JDV2BHO_h_c.jpg,9842.0,JDV2BHO,Horizontal,Clear,Clear,379.0,92.0,7.0
C9VMR3F_h_c.jpg,8301.0,C9VMR3F,Horizontal,Clear,Clear,306.0,92.0,7.0
SJ21XLU_h_c.jpg,8290.0,SJ21XLU,Horizontal,Clear,Clear,332.0,92.0,7.0
Q6E4WEW_h_c.jpg,10114.0,Q6E4WEW,Horizontal,Clear,Clear,364.0,92.0,7.0
08O8YAM_h_c.jpg,12317.0,08O8YAM,Horizontal,Clear,Clear,465.0,92.0,7.0
 R-R9GO_h_c.jpg,9919.0, R-R9GO,Horizontal,Clear,Clear,363.0,92.0,7.0
7WDI1C-5_h_c.jpg,12196.0,7WDI1C-5,Horizontal,Clear,Clear,443.0,92.0,8.0
BMAF31LK_h_c.jpg,10454.0,BMAF31LK,Horizontal,Clear,Clear,397.0,92.0,8.0
4VMH9E-E_h_c.jpg,9642.0,4VMH9E-E,Horizontal,Clear,Clear,383.0,92.0,8.0
 8X153OI_h_c.jpg,8953.0, 8X153OI,Horizontal,Clear,Clear,347.0,92.0,8.0
6 1IWGOP_h_c.jpg,10139.0,6 1IWGOP,Horizontal,Clear,Clear,407.0,92.0,8.0
R8XUBEDP_h_c.jpg,11821.0,R8XUBEDP,Horizontal,Clear,Clear,455.0,92.0,8.0
2QIZF0S7_h_c.jpg,9094.0,2QIZF0S7,Horizontal,Clear,Clear,327.0,92.0,8.0
T9IH86JA_h_c.jpg,10388.0,T9IH86JA,Horizontal,Clear,Clear,384.0,92.0,8.0
J13GDPLN_h_c.jpg,4981.0,J13GDPLN,Horizontal,Clear,Clear,173.0,92.0,8.0
ID8N872R_h_c.jpg,10123.0,ID8N872R,Horizontal,Clear,Clear,361.0,92.0,8.0
O25IMUHV_h_c.jpg,11727.0,O25IMUHV,Horizontal,Clear,Clear,431.0,92.0,8.0
JQ9RT9ZQ_h_c.jpg,10253.0,JQ9RT9ZQ,Horizontal,Clear,Clear,353.0,92.0,8.0
JAJLH7NO_h_c.jpg,9911.0,JAJLH7NO,Horizontal,Clear,Clear,399.0,92.0,8.0
ZABVNV0Y_h_c.jpg,11088.0,ZABVNV0Y,Horizontal,Clear,Clear,455.0,92.0,8.0
LTF2 OLM_h_c.jpg,10766.0,LTF2 OLM,Horizontal,Clear,Clear,414.0,92.0,8.0
 VVVB7B4_h_c.jpg,12601.0, VVVB7B4,Horizontal,Clear,Clear,479.0,92.0,8.0
7A4BEVCY_h_c.jpg,12103.0,7A4BEVCY,Horizontal,Clear,Clear,428.0,92.0,8.0
B- 2GSKT_h_c.jpg,7571.0,B- 2GSKT,Horizontal,Clear,Clear,290.0,92.0,8.0
ZBNUK7XY_h_c.jpg,10957.0,ZBNUK7XY,Horizontal,Clear,Clear,399.0,92.0,8.0
JZNF9K0R_h_c.jpg,11174.0,JZNF9K0R,Horizontal,Clear,Clear,412.0,92.0,8.0
QXGXRGWG5_h_c.jpg,15143.0,QXGXRGWG5,Horizontal,Clear,Clear,521.0,92.0,9.0
 ZUPGUJGZ_h_c.jpg,9727.0, ZUPGUJGZ,Horizontal,Clear,Clear,359.0,92.0,9.0
NFQ-E- 09_h_c.jpg,9284.0,NFQ-E- 09,Horizontal,Clear,Clear,359.0,92.0,9.0
KP95 BXUU_h_c.jpg,10958.0,KP95 BXUU,Horizontal,Clear,Clear,409.0,92.0,9.0
RBAQ0KA5V_h_c.jpg,12142.0,RBAQ0KA5V,Horizontal,Clear,Clear,425.0,92.0,9.0
ZYGQ7 8GL_h_c.jpg,11241.0,ZYGQ7 8GL,Horizontal,Clear,Clear,412.0,92.0,9.0
TEHQG5HWE_h_c.jpg,18324.0,TEHQG5HWE,Horizontal,Clear,Clear,616.0,92.0,9.0
X4HYPQ8IQ_h_c.jpg,10713.0,X4HYPQ8IQ,Horizontal,Clear,Clear,402.0,92.0,9.0
PL1MQ0X9B_h_c.jpg,10878.0,PL1MQ0X9B,Horizontal,Clear,Clear,397.0,92.0,9.0
HU84MEZUQ_h_c.jpg,11330.0,HU84MEZUQ,Horizontal,Clear,Clear,427.0,92.0,9.0
FH 345O84_h_c.jpg,13242.0,FH 345O84,Horizontal,Clear,Clear,495.0,92.0,9.0
WL44NZ0#O_h_c.jpg,12160.0,WL44NZ0#O,Horizontal,Clear,Clear,496.0,92.0,9.0
6TLNOX07-_h_c.jpg,12321.0,6TLNOX07-,Horizontal,Clear,Clear,440.0,92.0,9.0
80CNWOHIB_h_c.jpg,11320.0,80CNWOHIB,Horizontal,Clear,Clear,444.0,92.0,9.0
NO#VD2EV3_h_c.jpg,12843.0,NO#VD2EV3,Horizontal,Clear,Clear,472.0,92.0,9.0
EDTH#X4H _h_c.jpg,14916.0,EDTH#X4H ,Horizontal,Clear,Clear,595.0,92.0,9.0
HD75VN3YC_h_c.jpg,6422.0,HD75VN3YC,Horizontal,Clear,Clear,223.0,92.0,9.0
WLELE QL7_h_c.jpg,8347.0,WLELE QL7,Horizontal,Clear,Clear,330.0,92.0,9.0
4GXWWV88I_h_c.jpg,12739.0,4GXWWV88I,Horizontal,Clear,Clear,471.0,92.0,9.0
3BYJL5E3Y_h_c.jpg,9664.0,3BYJL5E3Y,Horizontal,Clear,Clear,406.0,92.0,9.0
CIAX77LH4Z_h_c.jpg,11779.0,CIAX77LH4Z,Horizontal,Clear,Clear,454.0,92.0,10.0
NF32WN-76U_h_c.jpg,9662.0,NF32WN-76U,Horizontal,Clear,Clear,386.0,92.0,10.0
-BB5TRU-K4_h_c.jpg,11057.0,-BB5TRU-K4,Horizontal,Clear,Clear,396.0,92.0,10.0
C5581DZA1R_h_c.jpg,13011.0,C5581DZA1R,Horizontal,Clear,Clear,516.0,92.0,10.0
J127DD97 6_h_c.jpg,10045.0,J127DD97 6,Horizontal,Clear,Clear,432.0,92.0,10.0
ZCZ0VCRKJD_h_c.jpg,13493.0,ZCZ0VCRKJD,Horizontal,Clear,Clear,482.0,92.0,10.0
AT12 JD0XD_h_c.jpg,14284.0,AT12 JD0XD,Horizontal,Clear,Clear,539.0,92.0,10.0
20HWZFEFPP_h_c.jpg,13568.0,20HWZFEFPP,Horizontal,Clear,Clear,510.0,92.0,10.0
SB2J3ORWZF_h_c.jpg,13680.0,SB2J3ORWZF,Horizontal,Clear,Clear,493.0,92.0,10.0
24YBE7HR42_h_c.jpg,13940.0,24YBE7HR42,Horizontal,Clear,Clear,520.0,92.0,10.0
JHZIA#ABZA_h_c.jpg,13223.0,JHZIA#ABZA,Horizontal,Clear,Clear,573.0,92.0,10.0
ZXERR6T3IG_h_c.jpg,11913.0,ZXERR6T3IG,Horizontal,Clear,Clear,477.0,92.0,10.0
58M9MT38-2_h_c.jpg,11853.0,58M9MT38-2,Horizontal,Clear,Clear,470.0,92.0,10.0
TIR#B8SYZI_h_c.jpg,11834.0,TIR#B8SYZI,Horizontal,Clear,Clear,477.0,92.0,10.0
T5-O23QR1B_h_c.jpg,11048.0,T5-O23QR1B,Horizontal,Clear,Clear,412.0,92.0,10.0
 RXN6LSAS1_h_c.jpg,12241.0, RXN6LSAS1,Horizontal,Clear,Clear,457.0,92.0,10.0
7EGLO8DZS0_h_c.jpg,17956.0,7EGLO8DZS0,Horizontal,Clear,Clear,669.0,92.0,10.0
EBE3KQ34FQ_h_c.jpg,15334.0,EBE3KQ34FQ,Horizontal,Clear,Clear,558.0,92.0,10.0
WL9OU1U6T9_h_c.jpg,17219.0,WL9OU1U6T9,Horizontal,Clear,Clear,658.0,92.0,10.0
D5UNRU6DPM_h_c.jpg,12400.0,D5UNRU6DPM,Horizontal,Clear,Clear,502.0,92.0,10.0
GUXY8RKVGKP_h_c.jpg,12967.0,GUXY8RKVGKP,Horizontal,Clear,Clear,483.0,92.0,11.0
G QPWM-AT78_h_c.jpg,13944.0,G QPWM-AT78,Horizontal,Clear,Clear,523.0,92.0,11.0
KO6BCUQP #I_h_c.jpg,14569.0,KO6BCUQP #I,Horizontal,Clear,Clear,571.0,92.0,11.0
RV5SBJ4VU96_h_c.jpg,18251.0,RV5SBJ4VU96,Horizontal,Clear,Clear,704.0,92.0,11.0
LXBXZK-ACC-_h_c.jpg,12536.0,LXBXZK-ACC-,Horizontal,Clear,Clear,473.0,92.0,11.0
J9Y78YNSASV_h_c.jpg,16150.0,J9Y78YNSASV,Horizontal,Clear,Clear,633.0,92.0,11.0
PG FZL WBEA_h_c.jpg,12150.0,PG FZL WBEA,Horizontal,Clear,Clear,479.0,92.0,11.0
8RT#7KRMXVL_h_c.jpg,12508.0,8RT#7KRMXVL,Horizontal,Clear,Clear,497.0,92.0,11.0
TYPOJ7SWHKS_h_c.jpg,18018.0,TYPOJ7SWHKS,Horizontal,Clear,Clear,654.0,92.0,11.0
C-#42J0HKB4_h_c.jpg,16311.0,C-#42J0HKB4,Horizontal,Clear,Clear,647.0,92.0,11.0
PB0I61G7V7W_h_c.jpg,16476.0,PB0I61G7V7W,Horizontal,Clear,Clear,630.0,92.0,11.0
